age	triceps
7.12	6
35.45	17.2
2.4	9.8
15	11
14.99	6.2
31.12	12
2.64	10.4
44.72	9.2
1.04	7.6
38.39	15.4
9.08	6
1.39	8.4
44.72	7.4
18.91	19
16.02	7.4
34.54	9.6
24.75	16.2
20.4	12.2
25.85	10.8
8.75	4.8
18.04	14
15.5	9.2
8.06	5.4
5.01	5.6
15.64	7.4
13.71	5
15.61	10
12.85	7.2
1.25	7.8
23.98	9.2
38.71	7.2
8.33	5.4
4	7.8
6.17	6
13.83	12
0.52	8.6
17.74	10.4
21	12.6
18.9	8
4.49	8.6
35.47	5
13.16	8.2
4.67	9.2
16.59	3.2
27.23	16.8
7.74	6
29.08	12.2
39.71	9
36.73	16.2
21.04	9.4
12.49	7
39.72	9
39.71	11
39.71	15.6
16.19	9
18.92	15.4
27.74	11
35.72	12
0.88	8.2
14.02	6.4
35.98	29.2
12.47	7.2
28.73	24.8
16.28	10.6
33.35	13
4.25	7.8
35.16	13
37.97	10
5.11	7
41.72	7.8
4.68	5.2
37.64	14
42.72	15
13.8	4
4.43	11.8
15.95	8
2.78	10.2
13.83	14.2
44.71	12
12.58	11.4
22.63	12
3.46	6.6
4.67	8.2
41.71	20.2
45.72	14.6
46.69	14.2
1	10.2
47.71	10
44.73	20.2
44.72	11
3.05	8.4
27.72	14
3.07	10.2
2.81	9.8
6.12	5.2
39.4	19
13.78	6.2
3.18	8.2
27.03	6.6
0.67	7.2
16.27	6.4
20.07	15.2
4.42	6.6
17.46	13.2
49.75	27
49.73	9
49.71	13.8
41.73	19
38.52	9.4
1.74	9.8
35.96	30.4
4.32	8.4
1.34	8.4
14.52	14.2
9.24	6.4
1.12	9.2
4.73	6.2
5.53	9
28.75	7
7.02	8.2
7.54	6
4.08	8.2
3.25	8.2
44.71	9.8
44.71	10
6.12	6.2
14.59	7.6
16.69	5.8
27.72	11.4
12.63	6.8
42.72	17
47.72	20.6
21.79	12.4
9.68	7.6
14.81	7
18.39	11.4
1.31	9.2
13.62	6.4
23.2	19.8
2.74	8.8
34.75	10.2
33.72	27.4
26.68	5
45.72	21
50.71	11.8
15.46	5.6
36.05	4.6
26.72	12.4
34.29	19.2
27.69	8
2.61	7.6
2.9	8.8
3.18	8.4
0.34	8.2
4.59	6.2
5.21	7.8
38.71	7.6
41.75	20.2
32.89	21.5
27.34	18.2
27.21	17.2
6.05	6
1.23	8.4
17.21	11.8
2.02	6
15.35	4.2
14.91	7.4
5.09	6.2
2.29	7.6
23.9	11.2
9.08	7
2.94	6.8
42.72	18.2
2.35	6.4
4.36	8
1	9
40.12	8.8
19.75	9.2
2.43	8
7.46	5.8
25.82	20.4
28.1	15.8
16.29	18
24.86	19
25.01	9.2
25.25	16
9.58	4.6
14.12	7.4
16.87	6.4
14.54	23.4
6.3	6.2
32.73	17.8
32.73	13.2
7.33	6.4
7.99	6.2
0.81	7.8
14.3	8.8
3.79	8
1.02	8
2.45	11.2
9.11	6.6
4.14	7.6
14.2	5
15.91	14.8
12.28	4
7.99	6
3.27	6.2
34.58	13.8
36.73	36.8
22.22	10
33.73	14
6.54	6
34.1	7.6
4.43	5.8
1.66	10.8
33.73	26.2
3.47	7.6
5.66	7.4
6.89	5.8
33.71	9.2
8.04	5.6
16.29	10.4
32.73	20.2
20.7	11.4
27.9	9
9.03	7
4.15	7.8
9.73	10.4
6.85	5.2
2.52	8
14.98	7
8.46	4.6
34.73	14.8
1.99	9.8
27.96	13.2
1.3	6
29.4	13.4
33.72	21.4
24.25	8.4
28.72	16.4
36.55	17.2
3.06	7.2
17.08	12
48.75	27.2
12.49	5.4
3.38	5.8
8.34	6.2
2.41	8.8
6.37	7
7.33	5
15.53	14.8
13.52	6
17.51	12.8
3.72	8.2
28.34	16
3.59	8.2
3.69	8.8
0.91	7.2
39.71	26
13.15	7
4.8	7.4
34.49	11.2
4	7.6
39.88	11.4
49.72	8.4
5.76	7
24.1	6.2
8.82	7.8
7.67	5.8
21.8	14
8.97	5.8
1.4	9.6
27.09	23.2
9.74	8.2
2.09	9.6
44.71	6.6
21.33	10.6
2.6	9
5.27	5.4
6.1	5.6
26.73	15
1.19	10.2
0.94	9
29.71	12.7
17.8	13.2
3.4	8.6
8.2	6.4
0.99	7.4
26.39	8.2
15.68	6.6
9.07	4.2
43.71	9.8
35.8	17.5
18.98	8.4
3.36	8.2
1.52	7
13.19	8.2
33.73	11.4
4.98	6.8
44.72	13.4
5.3	9.2
27.71	14.4
45.73	11.4
24.55	11.2
29.64	27.2
2.95	8.4
3.25	9
41.71	12.6
1.31	10.6
40.71	8.6
5.56	7.2
5.55	7.2
32.72	5.3
12.57	6.6
3.87	16
17.91	8
5.68	7.8
25.59	8.8
45.72	18.2
29.59	10
28.62	9.2
1.48	11.4
14.83	8
40.72	16
17.92	15.6
5.27	7
22.27	14.8
25.04	4
41.72	24
19.92	10
3.21	8.8
12.89	6.8
4.35	7
13.66	5.4
5.05	5.4
20.81	23.6
7.81	6
9.35	7
24.46	36.6
4.64	9.8
42.72	27.2
2.73	11.4
0.96	6.8
3.67	10
18.16	15.8
18.45	9
8.37	5.4
40.72	33.4
1.14	8.6
4.05	9
40.72	11
22.97	12.6
3.04	8
18.97	16.4
1.03	10.2
1.02	7.4
8.76	6.8
1.09	8
0.87	7.8
42.71	9.2
0.54	6.8
36.59	24
38.86	15
1.73	6
1.46	7.8
17.48	7
13.16	8.4
7.01	8
1.13	6
28.03	6.4
6.28	7.6
17.91	11.8
6.45	5.6
6.64	5.2
4.45	7
3.74	7.7
1.15	8.8
26.72	8.8
0.81	11
37.14	11.4
8.57	6
3.64	5.6
0.63	8.4
6.68	7.4
17.17	11.2
19.36	7
1.01	9
1	7
0.99	8.6
45.73	12
14.92	8.2
48.72	15.6
5.31	6.2
9.33	5.2
17.54	18.6
27	9.2
8.08	4.4
6.57	4.8
14.2	8.4
20.93	10
6.19	6.2
2.58	5.4
0.82	6.8
4.99	8.2
12.96	9.2
31.59	10
13.63	5.2
25.33	10.2
15.84	9
29.68	16.2
2.43	9.8
27.14	6.6
2.83	5.8
13.64	6.4
6.13	6.2
2.64	7
1.54	11.2
6.43	7.2
2.68	8.2
2.71	9
5.32	4.4
7.26	4.6
2.76	8.2
7.4	7.2
23.52	14.2
1.52	8.4
1.65	8
41.73	22.2
1.62	7.6
4.59	5.4
1.71	6.4
24.13	17.6
9	7.4
6.07	6.8
45.72	5.2
8.17	6.2
9.43	5.2
1.54	9.8
30.22	14
5.23	8
16.83	16.8
14.43	9.2
17.15	8
19.69	17.6
41.39	13.6
2.48	6.8
17.72	9
26.75	11
14.9	9
23.64	14
9.44	6
4.58	9.6
21.73	9.2
16.32	7.2
3.28	11.6
13.52	6.4
12.66	5.6
6.21	4
4.78	5.8
33.06	20.4
36.73	19.8
38.72	14
22.73	14.6
13.91	10.2
14.61	12
0.6	7
6.25	6.2
34.88	13.6
23.21	18
20.87	11
6.77	6.2
7.73	5
4.59	10.4
16.48	9.2
6.16	7
0.7	5.6
51.72	15.2
27.75	14.4
12.71	6
18.92	18
33.72	17
5.49	7.5
44.71	12.8
2.84	7
13.42	5.4
9.09	4.6
4.02	9.2
19.64	12
26.02	19.2
13.84	11
9.16	10.2
5.78	6
24.11	9
5.93	7.8
34.73	13.8
42.72	8.2
6.02	8.6
35.72	11.2
4.38	8
12.47	13
38.26	18.6
5.54	8.2
17.32	17
9.74	8.2
7.28	6.4
40.39	12.4
2.22	6.6
40.72	15
19.97	9
8	5.4
46.72	7
8.83	6.8
38.67	14.5
38.34	8.8
6.14	7
1.92	6.2
12.39	10.6
1.53	6.8
12.95	6.8
45.72	16
5.26	7.2
41.73	7.6
16.77	11.6
35.8	11
4.66	8
0.63	5.4
30.71	11.6
34.71	11.2
5.88	7.4
6.82	6.4
4.03	7
39.72	4.2
5.25	8.8
2.19	6.2
5.68	6.6
1.82	8.4
23.71	4
8.88	7
22.56	8
27.18	20
41.72	19
20.74	5.4
48.69	24.6
8.38	5
16.7	11
12.44	5
4.76	8.6
48.72	12.3
7.59	6
16.99	10.6
2.06	7
39.71	13.6
27.52	7.6
39.38	13.6
3.69	7.8
8.2	6.8
4.44	5.4
17.33	10
6.15	5.6
14.6	5.6
25.13	28
6.12	10
3.36	9.4
9.08	5.2
19.92	14
38.72	9.8
1.44	6.4
6.42	7.4
6.32	6
50.72	5
9.72	8.4
26.54	17.4
15.29	9.4
27.05	9.2
24.53	17.8
14.93	7
25.53	11
1.1	6.4
19.48	11
6.97	7
16.95	10.2
14.95	9.2
5.4	6.2
5.15	8
5.96	5.8
18.73	24
3.86	8
1.34	7.8
32.72	20.8
22.3	8.6
20.3	11.6
5.69	6.6
5.87	8.6
34.75	12
5.76	5.8
4.13	7.8
17.57	10.4
44.72	14.2
14.78	5
23.04	7.8
3.04	7
12.89	7
6.06	8
1.56	6.8
28.99	19.6
40.72	18
27.12	14.2
28.62	15.2
0.81	5
41.72	17.6
32.38	15.2
51.72	24.8
38.46	8.8
13.21	6
16.33	8
5.24	6
6.23	9
8.2	5.6
15.43	9.4
28.71	7
2.24	8
14.21	7.4
21.95	16.4
13.97	12
7.37	5.8
15.4	14.8
9.06	4
0.26	8
8.69	4.4
24.72	29.6
16.03	11.2
3.25	11
23.72	4.2
14.7	6.8
37.36	13.8
40.72	14
7.67	5.2
1.45	5.4
0.91	7.4
35.98	14.4
1.17	8.2
7.64	6.2
12.74	7
29.83	22.6
41.71	12.8
8.33	7.7
5.85	6.6
4.08	7
9.62	5.2
5.67	5.8
7.26	7
7.92	5.9
1.48	9.8
18.3	7
3.28	8.4
12.9	4.4
41.73	22
27.15	5.2
7.91	6.8
7.99	4.2
14.63	9
30.14	8.2
